title,description,videoLink,videoLink2,videoLink3,notesLink1,notesLink2,notesLink3,topicId,subtopicId,specpointId,higherTier,physicsOnly
Energy stores & systems ,"A system is an object or group of objects.There are changes in the way energy is stored when a system
changes.\nStudents should be able to describe all the changes involved in the way energy is stored when a system changes, for common situations. For example:\n • an object projected upwards
• a moving object hitting an obstacle
• an object accelerated by a constant force
• a vehicle slowing down
• bringing water to a boil in an electric kettle.\nThroughout this section on Energy, students should be able to
calculate the changes in energy involved when a system is changed by:\n
• heating
• work done by forces
• work done when a current flows
• use calculations to show on a common scale how the overall energy in a system is redistributed when the system is changed.",https://www.youtube.com/watch?v=JGwcDCeYRYo,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-1-energy-stores--transfers/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-2-examples-of-energy-transfer/,,1,1,1,FALSE,FALSE
Changes in energy ,"Students should be able to calculate the amount of energy associated with a moving object, a stretched spring and an object raised above ground level.\n
The kinetic energy of a moving object can be calculated using the
equation: kinetic energy = 0.5 × mass × speed 2
\(E_k =1/2mv^2\)\n

kinetic energy, E_k, in joules, J, mass, m, in kilograms, kg, speed, v, in metres per second, m/s
The amount of elastic potential energy stored in a stretched spring can be calculated using the equation:\n

elastic potential energy = 0.5 × spring constant × extension 2\n
\(E_e  = 1/2ke^2\)  (assuming the limit of proportionality has not been exceeded)\n
elastic potential energy, E_e, in joules, J, spring constant, k, in newtons per metre, N/m, extension, e, in metres, m\n

The amount of gravitational potential energy gained by an object raised above ground level can be calculated using the equation:\n

\(gpe . = mass × gravitational field strength × height\)\n
\(E_p = mgh\)\n
gravitational potential energy, E_p, in joules, J, mass, m, in kilograms, kg, gravitational field strength, g, in newtons per kilogram, N/kg\n

(In any calculation the value of the gravitational field strength (g) will be given).
height, h, in metres, m",https://www.youtube.com/watch?v=Qw_9kX9PARc&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=2,https://www.youtube.com/watch?v=63OTIdNb-TE&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=3,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-3-kinetic-energy/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-4-gravitational-potential-energy/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-5-elastic-potential-energy/,1,1,2,FALSE,FALSE
Energy changes in systems ,"The amount of energy stored in or released from a system as its temperature changes can be calculated using the equation:\n

change in thermal energy = mass × specific heat capacity × temperature change\n
∆ E  = m c  ∆ θ\n
change in thermal energy, ∆E, in joules, J, mass, m, in kilograms, kg\n
specific heat capacity, c, in joules per kilogram per degree Celsius, J/kg °C\n

temperature change, ∆θ, in degrees Celsius, °C\n

The specific heat capacity of a substance is the amount of energy required to raise the temperature of one kilogram of the substance
by one degree Celsius.",https://www.youtube.com/watch?v=Hs5x0-IU2F4&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=4,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-7-thermal-energy/,,,1,1,3,FALSE,FALSE
Power,"Power is defined as the rate at which energy is transferred or the rate at which work is done.\n

power = energy transferred time \(P = E/T\)\n

power = work done time \(P = W/T\)\n

power, P, in watts, W energy transferred, E, in joules, J time, t, in seconds, s work done, W, in joules, J.\n

An energy transfer of 1 joule per second is equal to a power of 1 watt.\n

Students should be able to give examples that illustrate the definition of power eg comparing two electric motors that both lift the same weight through the same height but one does it faster than the other.",https://www.youtube.com/watch?v=EDT0DPhaaMY&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=8,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-10-power/,,,1,1,4,FALSE,FALSE
Energy transfers in a system,"Energy can be transferred usefully, stored or dissipated, but cannot be created or destroyed.\n

Students should be able to describe with examples where there are energy transfers in a closed system, that there is no net change to the total energy.\n

Students should be able to describe, with examples, how in all system changes energy is dissipated, so that it is stored in less useful ways. This energy is often described as being ‘wasted’.\n

Students should be able to explain ways of reducing unwanted energy transfers, for example through lubrication and the use of thermal insulation. The higher the thermal conductivity of a material the higher the rate of energy transfer by conduction across the material.\n

Students should be able to describe how the rate of cooling of a building is affected by the thickness and thermal conductivity of its walls. Students do not need to know the definition of thermal conductivity.",https://www.youtube.com/watch?v=lbp01HgTBNc&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=5,https://www.youtube.com/watch?v=7ZlTNAUNFts&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=6,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-11-conservation--dissipation-of-energy/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-12-wasted-energy/,,1,2,1,FALSE,FALSE
Efficiency (same video for both) ,"The energy efficiency for any energy transfer can be calculated using the equation:\n

efficiency = useful output energy transfer/total input energy transfer.\n
Efficiency may also be calculated using the equation: efficiency = useful power output/total power input. ",https://www.youtube.com/watch?v=NI5jaeBrIgQ&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=9,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-15-efficiency/,,,1,2,2,FALSE,FALSE
Efficiency (same video for both) ,(HT only) Students should be able to describe ways to increase the efficiency of an intended energy transfer.,https://www.youtube.com/watch?v=NI5jaeBrIgQ&list=PL9IouNCPbCxWNjJvmqwZ4vKy4VfcAhsCj&index=9,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-1-energy-changes-in-a-system/1-1-16-improving-efficiency/,,,1,2,2H,TRUE,FALSE
National & global energy resources,"The main energy resources available for use on Earth include: fossil fuels (coal, oil and gas), nuclear fuel, bio-fuel, wind, hydroelectricity, geothermal, the tides, the Sun and water waves.\n

A renewable energy resource is one that is being (or can be) replenished as it is used. The uses of energy resources include: transport, electricity generation and heating.\n

Students should be able to:\n
• describe the main energy sources available 
• distinguish between energy resources that are renewable and energy resources that are non-renewable 
• compare ways that different energy resources are used, the uses to include transport, electricity generation and heating 
• understand why some energy resources are more reliable than others. 
• describe the environmental impact arising from the use of different energy resources • explain patterns and trends in the use of energy resources.

Students should be able to:\n

• consider the environmental issues that may arise from the use
of different energy resources
• show that science has the ability to identify environmental issues arising from the use of energy resources but not always the power to deal with the issues because of political,social, ethical or economic considerations.\n

Descriptions of how energy resources are used to generate electricity are not required.",https://www.youtube.com/watch?v=2qTBtJGq1pU,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-2-national--global-energy-resources/1-2-1-energy-resources/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-2-national--global-energy-resources/1-2-2-comparing-energy-resources/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/1-energy/1-2-national--global-energy-resources/1-2-3-environmental-issues/,1,3,1,FALSE,FALSE
Standard circuit diagram symbols,Recall all symbols shown in video.,https://www.youtube.com/watch?v=sFUmuuJjAcw,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-1-circuit-diagrams/,,,2,1,1,FALSE,FALSE
Electrical charge & current ,"For electrical charge to flow through a closed circuit the circuit must include a source of potential difference.\n 

Electric current is a flow of electrical charge. The size of the electric
current is the rate of flow of electrical charge. Charge flow, current
and time are linked by the equation:\n

charge flow = current × time\n
\(Q= IT\)\n

charge flow, Q, in coulombs, C
current, I, in amperes, A (amp is acceptable for ampere)
time, t, in seconds, s

A current has the same value at any point in a single closed loop. ",https://www.youtube.com/watch?v=TIHW5hEoaAw,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-2-charge--current/,,,2,1,2,FALSE,FALSE
